ID	padj	P.Value	lfcSE	stat	logFC	baseMean	Gene.symbol	Gene.title	Updated.gene.symbol	Updated.gene.title	Retained.original
64801	0.408915	0.139	0.0585	-1.477799	-0.0864797	754.66	ARV1	ARV1 homolog, fatty acid homeostasis modulator	ARV1	ARV1 homolog, fatty acid homeostasis modulator	FALSE
421	0.618602	0.343	0.0836	-0.947715	-0.0792138	1317.28	ARVCF	ARVCF delta catenin family member	ARVCF	ARVCF delta catenin family member	FALSE
170302	0.24936	0.0427	0.2301	2.026368	0.4662088	226.41	ARX	aristaless related homeobox	ARX	aristaless related homeobox	FALSE
57412	0.283474	0.0578	0.1706	1.896873	0.3236575	75.26	AS3MT	arsenite methyltransferase	AS3MT	arsenite methyltransferase	FALSE
427	0.232511	0.0361	0.0659	-2.096311	-0.1381065	8629.09	ASAH1	N-acylsphingosine amidohydrolase 1	ASAH1	N-acylsphingosine amidohydrolase 1	FALSE
101929066	0.833143	0.662	0.1037	0.436478	0.0452454	70.29	ASAH1-AS1	ASAH1 antisense RNA 1	ASAH1-AS1	ASAH1 antisense RNA 1	FALSE
56624	0.942171	0.873	0.0855	0.160354	0.0137107	106.71	ASAH2	N-acylsphingosine amidohydrolase 2	ASAH2	N-acylsphingosine amidohydrolase 2	FALSE
653308	0.814372	0.629	0.0936	-0.482792	-0.0451879	326.28	ASAH2B	N-acylsphingosine amidohydrolase 2B	ASAH2B	N-acylsphingosine amidohydrolase 2B	FALSE
50807	0.92865	0.843	0.1331	-0.198627	-0.0264415	355.15	ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	FALSE
8853	0.224101	0.0326	0.1218	-2.136766	-0.2603091	829.75	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	FALSE
55616	0.095482	0.00218	0.0978	-3.064022	-0.2996792	1428.69	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	FALSE
51665	0.726263	0.486	0.0523	0.696108	0.0364223	1119.37	ASB1	ankyrin repeat and SOCS box containing 1	ASB1	ankyrin repeat and SOCS box containing 1	FALSE
142689	0.43733	0.165	0.1988	-1.388308	-0.2759484	9.84	ASB12	ankyrin repeat and SOCS box containing 12	ASB12	ankyrin repeat and SOCS box containing 12	FALSE
79754	0.943751	0.876	0.0787	-0.155889	-0.0122623	1413.3	ASB13	ankyrin repeat and SOCS box containing 13	ASB13	ankyrin repeat and SOCS box containing 13	FALSE
142686	0.262641	0.0479	0.1102	1.977856	0.2179081	268.64	ASB14	ankyrin repeat and SOCS box containing 14	ASB14	ankyrin repeat and SOCS box containing 14	FALSE
92591	0.985354	0.967	0.1096	-0.041732	-0.0045726	189.16	ASB16	ankyrin repeat and SOCS box containing 16	ASB16	ankyrin repeat and SOCS box containing 16	FALSE
339201	0.762546	0.543	0.0809	0.607534	0.0491559	466.02	ASB16-AS1	ASB16 antisense RNA 1	ASB16-AS1	ASB16 antisense RNA 1	FALSE
51676	0.789175	0.583	0.3382	-0.548392	-0.1854799	76.86	ASB2	ankyrin repeat and SOCS box containing 2	ASB2	ankyrin repeat and SOCS box containing 2	FALSE
51130	0.623908	0.349	0.0619	0.935973	0.0578997	230.73	ASB3	ankyrin repeat and SOCS box containing 3	ASB3	ankyrin repeat and SOCS box containing 3	FALSE
51666	0.198172	0.0231	0.2232	2.272366	0.5071646	59.25	ASB4	ankyrin repeat and SOCS box containing 4	ASB4	ankyrin repeat and SOCS box containing 4	FALSE
140459	0.557051	0.277	0.0573	-1.087932	-0.0623415	1212.73	ASB6	ankyrin repeat and SOCS box containing 6	ASB6	ankyrin repeat and SOCS box containing 6	FALSE
140460	0.944087	0.877	0.0391	0.154496	0.0060459	677.69	ASB7	ankyrin repeat and SOCS box containing 7	ASB7	ankyrin repeat and SOCS box containing 7	FALSE
140461	0.353547	0.1	0.0378	-1.6431	-0.0620782	1148.3	ASB8	ankyrin repeat and SOCS box containing 8	ASB8	ankyrin repeat and SOCS box containing 8	FALSE
140462	0.125886	0.00549	0.1977	2.777025	0.5490422	287.76	ASB9	ankyrin repeat and SOCS box containing 9	ASB9	ankyrin repeat and SOCS box containing 9	FALSE
51008	0.480686	0.203	0.0433	-1.273481	-0.055161	1060.63	ASCC1	activating signal cointegrator 1 complex subunit 1	ASCC1	activating signal cointegrator 1 complex subunit 1	FALSE
84164	0.439496	0.167	0.0851	-1.382119	-0.1176289	3290.67	ASCC2	activating signal cointegrator 1 complex subunit 2	ASCC2	activating signal cointegrator 1 complex subunit 2	FALSE
10973	0.297431	0.0651	0.0788	-1.844365	-0.1452462	1365.35	ASCC3	activating signal cointegrator 1 complex subunit 3	ASCC3	activating signal cointegrator 1 complex subunit 3	FALSE
429	0.746695	0.519	0.2644	-0.644499	-0.1703742	108.7	ASCL1	achaete-scute family bHLH transcription factor 1	ASCL1	achaete-scute family bHLH transcription factor 1	FALSE
430	0.521234	0.239	0.1825	1.178	0.2149955	226.91	ASCL2	achaete-scute family bHLH transcription factor 2	ASCL2	achaete-scute family bHLH transcription factor 2	FALSE
56676	0.519912	0.237	0.2818	-1.181426	-0.3329396	93.21	ASCL3	achaete-scute family bHLH transcription factor 3	ASCL3	achaete-scute family bHLH transcription factor 3	FALSE
110599588	0.72026	0.478	0.0756	0.7096	0.0536128	106.23	ASDURF	ASNSD1 upstream open reading frame	ASDURF	ASNSD1 upstream open reading frame	FALSE
25842	0.467053	0.191	0.0749	1.30845	0.0979465	685.51	ASF1A	anti-silencing function 1A histone chaperone	ASF1A	anti-silencing function 1A histone chaperone	FALSE
55723	0.244276	0.0409	0.2139	-2.044634	-0.4372927	181.04	ASF1B	anti-silencing function 1B histone chaperone	ASF1B	anti-silencing function 1B histone chaperone	FALSE
432	0.794465	0.593	0.2479	-0.534876	-0.1326165	62.26	ASGR1	asialoglycoprotein receptor 1	ASGR1	asialoglycoprotein receptor 1	FALSE
433	0.627588	0.354	0.2118	0.92666	0.1962806	38.13	ASGR2	asialoglycoprotein receptor 2	ASGR2	asialoglycoprotein receptor 2	FALSE
55870	0.848428	0.691	0.0706	0.39713	0.0280328	1919.5	ASH1L	ASH1 like histone lysine methyltransferase	ASH1L	ASH1 like histone lysine methyltransferase	FALSE
645676	0.770088	0.554	0.0801	-0.59113	-0.0473545	127.93	ASH1L-AS1	ASH1L antisense RNA 1	ASH1L-AS1	ASH1L antisense RNA 1	FALSE
9070	0.827368	0.651	0.0474	-0.452071	-0.0214299	1259.67	ASH2L	ASH2 like, histone lysine methyltransferase complex subunit	ASH2L	ASH2 like, histone lysine methyltransferase complex subunit	FALSE
41	0.483348	0.205	0.1603	1.267653	0.2031471	1198.02	ASIC1	acid sensing ion channel subunit 1	ASIC1	acid sensing ion channel subunit 1	FALSE
9311	0.612886	0.335	0.1787	0.963435	0.1721246	160.36	ASIC3	acid sensing ion channel subunit 3	ASIC3	acid sensing ion channel subunit 3	FALSE
435	0.422729	0.152	0.0805	-1.433023	-0.1153653	2403.18	ASL	argininosuccinate lyase	ASL	argininosuccinate lyase	FALSE
438	0.632372	0.36	0.1	-0.915011	-0.0915139	79.53	ASMT	acetylserotonin O-methyltransferase	ASMT	acetylserotonin O-methyltransferase	FALSE
8623	0.939388	0.865	0.0833	-0.169439	-0.0141146	941.71	ASMTL	acetylserotonin O-methyltransferase like	ASMTL	acetylserotonin O-methyltransferase like	FALSE
80161	0.789499	0.584	0.1682	-0.547448	-0.0920823	542.38	ASMTL-AS1	ASMTL antisense RNA 1	ASMTL-AS1	ASMTL antisense RNA 1	FALSE
440	0.734409	0.499	0.1276	-0.675619	-0.0862418	374.69	ASNS	asparagine synthetase (glutamine-hydrolyzing)	ASNS	asparagine synthetase (glutamine-hydrolyzing)	FALSE
54529	0.604635	0.326	0.0537	0.982032	0.0527434	996.28	ASNSD1	asparagine synthetase domain containing 1	ASNSD1	asparagine synthetase domain containing 1	FALSE
443	0.613074	0.336	0.2238	0.9628	0.2154823	25.55	ASPA	aspartoacylase	ASPA	aspartoacylase	FALSE
554235	0.720464	0.478	0.2499	-0.70894	-0.1771452	13.11	ASPDH	aspartate dehydrogenase domain containing	ASPDH	aspartate dehydrogenase domain containing	FALSE
374569	0.489612	0.21	0.2256	-1.253447	-0.2828213	211.13	ASPG	asparaginase	ASPG	asparaginase	FALSE
444	0.717437	0.473	0.0978	-0.718377	-0.0702373	5286.8	ASPH	aspartate beta-hydroxylase	ASPH	aspartate beta-hydroxylase	FALSE
253982	0.153005	0.0107	0.152	-2.552579	-0.3880166	49.43	ASPHD1	aspartate beta-hydroxylase domain containing 1	ASPHD1	aspartate beta-hydroxylase domain containing 1	FALSE
57168	0.08569	0.00155	0.2246	-3.164622	-0.7109102	182.84	ASPHD2	aspartate beta-hydroxylase domain containing 2	ASPHD2	aspartate beta-hydroxylase domain containing 2	FALSE
259266	0.193771	0.0216	0.2428	-2.297344	-0.5576876	51.03	ASPM	assembly factor for spindle microtubules	ASPM	assembly factor for spindle microtubules	FALSE
151516	0.349421	0.0976	0.1519	1.656623	0.251632	125.02	ASPRV1	aspartic peptidase retroviral like 1	ASPRV1	aspartic peptidase retroviral like 1	FALSE
79058	0.440619	0.168	0.0886	-1.379189	-0.1221779	1301.77	ASPSCR1	ASPSCR1 tether for SLC2A4, UBX domain containing	ASPSCR1	ASPSCR1 tether for SLC2A4, UBX domain containing	FALSE
80150	0.053805	0.000324	0.1844	-3.595124	-0.663101	973.53	ASRGL1	asparaginase and isoaspartyl peptidase 1	ASRGL1	asparaginase and isoaspartyl peptidase 1	FALSE
445	0.124779	0.00532	0.1936	-2.786711	-0.5395943	8666.67	ASS1	argininosuccinate synthase 1	ASS1	argininosuccinate synthase 1	FALSE
28990	0.928055	0.84	0.0543	-0.201305	-0.0109236	338.77	ASTE1	asteroid homolog 1	ASTE1	asteroid homolog 1	FALSE
431705	0.45185	0.177	0.2791	1.350694	0.3770418	30.58	ASTL	astacin like metalloendopeptidase	ASTL	astacin like metalloendopeptidase	FALSE
460	0.758207	0.538	0.2819	0.616307	0.1737093	10.92	ASTN1	astrotactin 1	ASTN1	astrotactin 1	FALSE
23245	0.278346	0.0555	0.2256	1.915191	0.4321405	818.89	ASTN2	astrotactin 2	ASTN2	astrotactin 2	FALSE
171023	0.965282	0.922	0.0314	0.097756	0.0030695	2226	ASXL1	ASXL transcriptional regulator 1	ASXL1	ASXL transcriptional regulator 1	FALSE
55252	0.727611	0.488	0.0721	0.692972	0.0499444	1494.65	ASXL2	ASXL transcriptional regulator 2	ASXL2	ASXL transcriptional regulator 2	FALSE
80816	0.61023	0.332	0.1661	0.970008	0.1610786	101.16	ASXL3	ASXL transcriptional regulator 3	ASXL3	ASXL transcriptional regulator 3	FALSE
84896	0.978904	0.954	0.0584	-0.057434	-0.0033568	1638.82	ATAD1	ATPase family AAA domain containing 1	ATAD1	ATPase family AAA domain containing 1	FALSE
29028	0.837631	0.67	0.1725	0.426067	0.0735087	476.63	ATAD2	ATPase family AAA domain containing 2	ATAD2	ATPase family AAA domain containing 2	FALSE
54454	0.974385	0.942	0.0904	-0.072455	-0.0065505	459.57	ATAD2B	ATPase family AAA domain containing 2B	ATAD2B	ATPase family AAA domain containing 2B	FALSE
55210	0.635535	0.365	0.0824	-0.906089	-0.0746186	1803.2	ATAD3A	ATPase family AAA domain containing 3A	ATAD3A	ATPase family AAA domain containing 3A	FALSE
83858	0.419517	0.149	0.099	-1.444318	-0.1429704	1741.75	ATAD3B	ATPase family AAA domain containing 3B	ATAD3B	ATPase family AAA domain containing 3B	FALSE
219293	0.27524	0.0538	0.1592	-1.928452	-0.3070538	201.12	ATAD3C	ATPase family AAA domain containing 3C	ATAD3C	ATPase family AAA domain containing 3C	FALSE
79915	0.791099	0.586	0.11	0.544318	0.0598601	93.91	ATAD5	ATPase family AAA domain containing 5	ATAD5	ATPase family AAA domain containing 5	FALSE
79969	0.786631	0.579	0.0735	0.554902	0.040793	854.51	ATAT1	alpha tubulin acetyltransferase 1	ATAT1	alpha tubulin acetyltransferase 1	FALSE
11101	0.529325	0.249	0.0644	-1.152706	-0.0742764	861.46	ATE1	arginyltransferase 1	ATE1	arginyltransferase 1	FALSE
100130887	0.32892	0.0837	0.2	1.729429	0.3459179	36.25	ATE1-AS1	ATE1 antisense RNA 1	ATE1-AS1	ATE1 antisense RNA 1	FALSE
466	0.392691	0.127	0.0795	1.524982	0.1213037	610.09	ATF1	activating transcription factor 1	ATF1	activating transcription factor 1	FALSE
1386	0.388848	0.124	0.0587	1.538847	0.0903061	1194.66	ATF2	activating transcription factor 2	ATF2	activating transcription factor 2	FALSE
467	0.602024	0.324	0.17	-0.98696	-0.1677865	2108.98	ATF3	activating transcription factor 3	ATF3	activating transcription factor 3	FALSE
468	0.358822	0.104	0.109	-1.625977	-0.1772598	9976.55	ATF4	activating transcription factor 4	ATF4	activating transcription factor 4	FALSE
22809	0.563759	0.283	0.1153	-1.073292	-0.1237761	952.69	ATF5	activating transcription factor 5	ATF5	activating transcription factor 5	FALSE
22926	0.415146	0.144	0.0565	-1.460936	-0.0825406	1906.91	ATF6	activating transcription factor 6	ATF6	activating transcription factor 6	FALSE
102724329	0.482686	0.204	0.2808	1.268883	0.3562733	8.51	ATF6-DT	ATF6 divergent transcript	ATF6-DT	ATF6 divergent transcript	FALSE
1388	0.132189	0.00632	0.0458	-2.730675	-0.1250411	3555.26	ATF6B	activating transcription factor 6 beta	ATF6B	activating transcription factor 6 beta	FALSE
11016	0.670052	0.41	0.0552	-0.823219	-0.0454644	958.44	ATF7	activating transcription factor 7	ATF7	activating transcription factor 7	FALSE
114108587	0.761279	0.542	0.0789	0.609391	0.0480751	186.33	ATF7-NPFF	ATF7-NPFF readthrough	ATF7-NPFF	ATF7-NPFF readthrough	FALSE
55729	0.919539	0.822	0.0597	0.225353	0.0134541	1921.29	ATF7IP	activating transcription factor 7 interacting protein	ATF7IP	activating transcription factor 7 interacting protein	FALSE
80063	0.323679	0.0804	0.1106	1.748291	0.1933173	927.45	ATF7IP2	activating transcription factor 7 interacting protein 2	ATF7IP2	activating transcription factor 7 interacting protein 2	FALSE
83734	0.882548	0.753	0.069	0.315087	0.0217287	396.19	ATG10	autophagy related 10	ATG10	autophagy related 10	FALSE
60673	0.270313	0.0513	0.0832	-1.949287	-0.1622682	1989.22	ATG101	autophagy related 101	ATG101	autophagy related 101	FALSE
9140	0.874182	0.736	0.0421	0.336728	0.0141728	1194.52	ATG12	autophagy related 12	ATG12	autophagy related 12	FALSE
9776	0.408888	0.139	0.0431	-1.477995	-0.0637294	3174.55	ATG13	autophagy related 13	ATG13	autophagy related 13	FALSE
22863	0.647277	0.381	0.0506	-0.876242	-0.0443193	1077.16	ATG14	autophagy related 14	ATG14	autophagy related 14	FALSE
55054	0.490779	0.211	0.0475	-1.24961	-0.0594188	1455.19	ATG16L1	autophagy related 16 like 1	ATG16L1	autophagy related 16 like 1	FALSE
89849	0.960839	0.912	0.152	0.110911	0.0168617	1101.09	ATG16L2	autophagy related 16 like 2	ATG16L2	autophagy related 16 like 2	FALSE
23130	0.944087	0.877	0.1333	0.154756	0.020623	1172.54	ATG2A	autophagy related 2A	ATG2A	autophagy related 2A	FALSE
55102	0.6366	0.367	0.0612	0.902775	0.0552088	1357.77	ATG2B	autophagy related 2B	ATG2B	autophagy related 2B	FALSE
64422	0.393139	0.128	0.0621	-1.52288	-0.0945867	1329.9	ATG3	autophagy related 3	ATG3	autophagy related 3	FALSE
115201	0.253095	0.0446	0.0654	-2.007948	-0.1312248	987.01	ATG4A	autophagy related 4A cysteine peptidase	ATG4A	autophagy related 4A cysteine peptidase	FALSE
23192	0.672575	0.415	0.0794	-0.815807	-0.0647781	2284.64	ATG4B	autophagy related 4B cysteine peptidase	ATG4B	autophagy related 4B cysteine peptidase	FALSE
84938	0.811212	0.624	0.0617	-0.490269	-0.030253	269.27	ATG4C	autophagy related 4C cysteine peptidase	ATG4C	autophagy related 4C cysteine peptidase	FALSE
84971	0.448071	0.174	0.0905	-1.360305	-0.1230542	993.33	ATG4D	autophagy related 4D cysteine peptidase	ATG4D	autophagy related 4D cysteine peptidase	FALSE
9474	0.64088	0.372	0.0552	-0.891946	-0.049264	1495.29	ATG5	autophagy related 5	ATG5	autophagy related 5	FALSE
10533	0.790534	0.586	0.0519	0.545197	0.0282782	2569	ATG7	autophagy related 7	ATG7	autophagy related 7	FALSE
79065	0.223537	0.0323	0.1028	-2.140394	-0.2199589	1859.37	ATG9A	autophagy related 9A	ATG9A	autophagy related 9A	FALSE
285973	0.584025	0.305	0.1506	1.024898	0.1543417	1560.77	ATG9B	autophagy related 9B	ATG9B	autophagy related 9B	FALSE
471	0.990973	0.978	0.0708	-0.02704	-0.0019134	1380.44	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	FALSE
51062	0.999509	0.999	0.0793	-0.0015	-0.000119	425.87	ATL1	atlastin GTPase 1	ATL1	atlastin GTPase 1	FALSE
64225	0.97316	0.94	0.0746	-0.075468	-0.0056292	1291.19	ATL2	atlastin GTPase 2	ATL2	atlastin GTPase 2	FALSE
25923	0.13381	0.00669	0.0771	-2.711998	-0.2089659	2028.11	ATL3	atlastin GTPase 3	ATL3	atlastin GTPase 3	FALSE
472	0.93537	0.857	0.0823	-0.18068	-0.0148704	1200.19	ATM	ATM serine/threonine kinase	ATM	ATM serine/threonine kinase	FALSE
23300	0.416761	0.145	0.0557	-1.456254	-0.081176	1501.66	ATMIN	ATM interactor	ATMIN	ATM interactor	FALSE
1822	0.942327	0.873	0.1019	-0.159646	-0.0162664	2485.73	ATN1	atrophin 1	ATN1	atrophin 1	FALSE
220202	0.646115	0.379	0.2812	0.879702	0.2473668	11.56	ATOH7	atonal bHLH transcription factor 7	ATOH7	atonal bHLH transcription factor 7	FALSE
84913	0.501011	0.22	0.2441	1.227261	0.2996324	396.48	ATOH8	atonal bHLH transcription factor 8	ATOH8	atonal bHLH transcription factor 8	FALSE
56204	0.48356	0.205	0.0653	-1.267261	-0.0827703	2026.3	ATOSA	atos homolog A	ATOSA	atos homolog A	FALSE
80256	0.419442	0.148	0.1035	-1.444892	-0.1494957	1121.67	ATOSB	atos homolog B	ATOSB	atos homolog B	FALSE
475	0.759551	0.54	0.0933	-0.613263	-0.0572093	1766.11	ATOX1	antioxidant 1 copper chaperone	ATOX1	antioxidant 1 copper chaperone	FALSE
57194	0.930606	0.847	0.2746	-0.192602	-0.0528872	235.35	ATP10A	ATPase phospholipid transporting 10A (putative)	ATP10A	ATPase phospholipid transporting 10A (putative)	FALSE
23120	0.062428	0.000518	0.2562	-3.471194	-0.889176	1137.54	ATP10B	ATPase phospholipid transporting 10B (putative)	ATP10B	ATPase phospholipid transporting 10B (putative)	FALSE
57205	0.452392	0.177	0.1012	-1.348539	-0.1364793	643.57	ATP10D	ATPase phospholipid transporting 10D (putative)	ATP10D	ATPase phospholipid transporting 10D (putative)	FALSE
23250	0.193618	0.0215	0.1199	-2.299195	-0.2756615	831.71	ATP11A	ATPase phospholipid transporting 11A	ATP11A	ATPase phospholipid transporting 11A	FALSE
23200	0.79232	0.589	0.0761	-0.54046	-0.0411521	2110.42	ATP11B	ATPase phospholipid transporting 11B (putative)	ATP11B	ATPase phospholipid transporting 11B (putative)	FALSE
286410	0.896741	0.777	0.08	-0.28288	-0.0226255	426	ATP11C	ATPase phospholipid transporting 11C	ATP11C	ATPase phospholipid transporting 11C	FALSE
479	0.656129	0.393	0.1906	-0.854104	-0.1628129	8017.96	ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit	ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit	FALSE
57130	0.503884	0.222	0.0761	-1.221516	-0.0929876	2338.36	ATP13A1	ATPase 13A1	ATP13A1	ATPase 13A1	FALSE
23400	0.08521	0.00151	0.1268	-3.173521	-0.4024777	2286.42	ATP13A2	ATPase cation transporting 13A2	ATP13A2	ATPase cation transporting 13A2	FALSE
79572	0.83116	0.659	0.0867	0.441168	0.0382406	3309.75	ATP13A3	ATPase 13A3	ATP13A3	ATPase 13A3	FALSE
401106	0.786678	0.58	0.148	-0.554026	-0.0820146	29.18	ATP13A3-DT	ATP13A3 divergent transcript	ATP13A3-DT	ATP13A3 divergent transcript	FALSE
84239	0.938804	0.863	0.1021	-0.172243	-0.0175828	1412.22	ATP13A4	ATPase 13A4	ATP13A4	ATPase 13A4	FALSE
101929198	0.489612	0.21	0.1882	1.253873	0.236041	12.04	ATP13A4-AS1	ATP13A4 antisense RNA 1	ATP13A4-AS1	ATP13A4 antisense RNA 1	FALSE
344905	0.04212	0.00018	0.2498	-3.745015	-0.9355796	214.23	ATP13A5	ATPase 13A5	ATP13A5	ATPase 13A5	FALSE
476	0.732511	0.495	0.0656	-0.682442	-0.0447783	22745.21	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	FALSE
84852	0.799621	0.602	0.0618	-0.522091	-0.0322768	4543.18	ATP1A1-AS1	ATP1A1 antisense RNA 1	ATP1A1-AS1	ATP1A1 antisense RNA 1	FALSE
481	0.205616	0.0254	0.108	-2.234922	-0.2413493	12104.67	ATP1B1	ATPase Na+/K+ transporting subunit beta 1	ATP1B1	ATPase Na+/K+ transporting subunit beta 1	FALSE
483	0.481218	0.203	0.0939	-1.272363	-0.1194777	3541.82	ATP1B3	ATPase Na+/K+ transporting subunit beta 3	ATP1B3	ATPase Na+/K+ transporting subunit beta 3	FALSE
91419	0.991009	0.979	0.087	-0.02692	-0.0023427	166.09	ATP23	ATP23 metallopeptidase and ATP synthase assembly factor homolog	ATP23	ATP23 metallopeptidase and ATP synthase assembly factor homolog	FALSE
487	0.836501	0.668	0.1155	-0.428499	-0.0494735	165.38	ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	FALSE
100289092	0.851412	0.697	0.1597	0.389117	0.0621269	28.47	ATP2A1-AS1	ATP2A1 antisense RNA 1	ATP2A1-AS1	ATP2A1 antisense RNA 1	FALSE
488	0.53329	0.253	0.0708	1.143989	0.0810078	13093.96	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	FALSE
489	0.337664	0.0894	0.149	-1.698731	-0.2530951	7875.04	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	FALSE
490	0.849687	0.694	0.0917	-0.392845	-0.0360257	1592.39	ATP2B1	ATPase plasma membrane Ca2+ transporting 1	ATP2B1	ATPase plasma membrane Ca2+ transporting 1	FALSE
338758	0.381512	0.119	0.1176	1.559965	0.1834123	124.34	ATP2B1-AS1	ATP2B1 antisense RNA 1	ATP2B1-AS1	ATP2B1 antisense RNA 1	FALSE
492	0.878201	0.744	0.3023	-0.326936	-0.0988381	13.63	ATP2B3	ATPase plasma membrane Ca2+ transporting 3	ATP2B3	ATPase plasma membrane Ca2+ transporting 3	FALSE
493	0.94958	0.889	0.0549	0.139349	0.0076477	4529.29	ATP2B4	ATPase plasma membrane Ca2+ transporting 4	ATP2B4	ATPase plasma membrane Ca2+ transporting 4	FALSE
27032	0.735177	0.501	0.0624	-0.673614	-0.042017	3477.22	ATP2C1	ATPase secretory pathway Ca2+ transporting 1	ATP2C1	ATPase secretory pathway Ca2+ transporting 1	FALSE
9914	0.605771	0.328	0.0695	-0.979099	-0.0680107	7855.42	ATP2C2	ATPase secretory pathway Ca2+ transporting 2	ATP2C2	ATPase secretory pathway Ca2+ transporting 2	FALSE
105371374	0.522237	0.24	0.0744	-1.175664	-0.0874931	1838.95	ATP2C2-AS1	ATP2C2 antisense RNA 1	ATP2C2-AS1	ATP2C2 antisense RNA 1	FALSE
498	0.367361	0.109	0.0429	-1.603315	-0.0688016	13505.66	ATP5F1A	ATP synthase F1 subunit alpha	ATP5F1A	ATP synthase F1 subunit alpha	FALSE
506	0.096781	0.00225	0.0417	-3.055636	-0.127497	18777.81	ATP5F1B	ATP synthase F1 subunit beta	ATP5F1B	ATP synthase F1 subunit beta	FALSE
509	0.10601	0.00288	0.0647	-2.980412	-0.1929321	3171.36	ATP5F1C	ATP synthase F1 subunit gamma	ATP5F1C	ATP synthase F1 subunit gamma	FALSE
513	0.625515	0.351	0.1104	-0.932176	-0.1028923	1922.28	ATP5F1D	ATP synthase F1 subunit delta	ATP5F1D	ATP synthase F1 subunit delta	FALSE
514	0.734206	0.498	0.0917	-0.676913	-0.0620412	4688.68	ATP5F1E	ATP synthase F1 subunit epsilon	ATP5F1E	ATP synthase F1 subunit epsilon	FALSE
93974	0.465186	0.189	0.099	1.314503	0.1301306	7868.28	ATP5IF1	ATP synthase inhibitory factor subunit 1	ATP5IF1	ATP synthase inhibitory factor subunit 1	FALSE
516	0.213055	0.0281	0.0733	-2.195544	-0.1608895	1496.62	ATP5MC1	ATP synthase membrane subunit c locus 1	ATP5MC1	ATP synthase membrane subunit c locus 1	FALSE
517	0.914251	0.81	0.0594	-0.240218	-0.0142614	7252.12	ATP5MC2	ATP synthase membrane subunit c locus 2	ATP5MC2	ATP synthase membrane subunit c locus 2	FALSE
518	0.13375	0.00666	0.0633	-2.713224	-0.1716667	3890.03	ATP5MC3	ATP synthase membrane subunit c locus 3	ATP5MC3	ATP synthase membrane subunit c locus 3	FALSE
521	0.593744	0.316	0.0883	-1.003525	-0.0885887	2678.84	ATP5ME	ATP synthase membrane subunit e	ATP5ME	ATP synthase membrane subunit e	FALSE
9551	0.375953	0.115	0.0706	-1.577102	-0.1112702	2233.18	ATP5MF	ATP synthase membrane subunit f	ATP5MF	ATP synthase membrane subunit f	FALSE
100526740	0.856626	0.706	0.0541	-0.377242	-0.0204151	2025.6	ATP5MF-PTCD1	ATP5MF-PTCD1 readthrough	ATP5MF-PTCD1	ATP5MF-PTCD1 readthrough	FALSE
10632	0.694997	0.444	0.0558	-0.765287	-0.0426821	4563.82	ATP5MG	ATP synthase membrane subunit g	ATP5MG	ATP synthase membrane subunit g	FALSE
9556	0.556338	0.276	0.0833	-1.089675	-0.0908178	2466.87	ATP5MJ	ATP synthase membrane subunit j	ATP5MJ	ATP synthase membrane subunit j	FALSE
84833	0.336293	0.0885	0.0735	-1.703347	-0.1252808	1829.92	ATP5MK	ATP synthase membrane subunit k	ATP5MK	ATP synthase membrane subunit k	FALSE
515	0.202701	0.0245	0.0538	-2.249373	-0.1209568	5034.84	ATP5PB	ATP synthase peripheral stalk-membrane subunit b	ATP5PB	ATP synthase peripheral stalk-membrane subunit b	FALSE
10476	0.283474	0.0578	0.0605	-1.897009	-0.1148061	2992.77	ATP5PD	ATP synthase peripheral stalk subunit d	ATP5PD	ATP synthase peripheral stalk subunit d	FALSE
522	0.530176	0.25	0.0581	-1.150582	-0.0668633	2219.57	ATP5PF	ATP synthase peripheral stalk subunit F6	ATP5PF	ATP synthase peripheral stalk subunit F6	FALSE
539	0.393886	0.129	0.0631	-1.520002	-0.0959317	4397.1	ATP5PO	ATP synthase peripheral stalk subunit OSCP	ATP5PO	ATP synthase peripheral stalk subunit OSCP	FALSE
4508	0.613171	0.336	0.1476	0.961356	0.141922	573229.12	ATP6	ATP synthase F0 subunit 6	ATP6	ATP synthase F0 subunit 6	FALSE
